epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.707,1.41405,2.08915,1.35078,0.71833,0.41375,0.57829,0.36918,1.40235,2.4855,1.48725,0.0671642,0.000331675,0.000331675
2,260.89,1.18616,1.14215,1.20757,0.73638,0.61026,0.69796,0.43642,1.33496,1.70684,1.399,0.0341576,0.000658425,0.000658425
3,375.119,1.11144,0.99642,1.16387,0.70423,0.69809,0.73129,0.47249,1.1227,1.34285,1.2628,0.00114441,0.000978574,0.000978574
4,482.903,1.09405,0.95526,1.16446,0.7413,0.69646,0.75731,0.51907,1.05622,1.08667,1.22291,0.0009703,0.0009703,0.0009703
5,591.791,1.03986,0.87127,1.13588,0.83344,0.77622,0.81895,0.57815,1.00463,0.84989,1.18101,0.0009604,0.0009604,0.0009604
6,700.294,1.00213,0.82864,1.11819,0.8466,0.78728,0.83105,0.58342,1.0101,0.80241,1.1743,0.0009505,0.0009505,0.0009505
7,808.816,0.99029,0.8007,1.10807,0.8477,0.80538,0.84534,0.61734,0.9309,0.75635,1.12694,0.0009406,0.0009406,0.0009406
8,917.152,0.96826,0.77889,1.09896,0.84734,0.83035,0.85535,0.62454,0.94837,0.69678,1.14292,0.0009307,0.0009307,0.0009307
9,1025.63,0.95239,0.74836,1.09306,0.85186,0.8333,0.85873,0.63213,0.90671,0.6838,1.11907,0.0009208,0.0009208,0.0009208
10,1133.82,0.9325,0.73187,1.07797,0.83609,0.83044,0.85811,0.61954,0.90822,0.66324,1.11722,0.0009109,0.0009109,0.0009109
11,1242.46,0.91897,0.71107,1.07643,0.8446,0.81599,0.85989,0.63729,0.87656,0.67284,1.11022,0.000901,0.000901,0.000901
12,1350.89,0.90758,0.70294,1.06955,0.87579,0.84037,0.87439,0.65116,0.8705,0.62682,1.09403,0.0008911,0.0008911,0.0008911
13,1459.03,0.89772,0.69027,1.06979,0.87277,0.83186,0.87669,0.65685,0.86896,0.63607,1.09534,0.0008812,0.0008812,0.0008812
14,1567.4,0.88318,0.67349,1.05728,0.86476,0.84559,0.87464,0.65641,0.82473,0.61011,1.06843,0.0008713,0.0008713,0.0008713
15,1676.14,0.87589,0.67182,1.05489,0.87388,0.84744,0.87879,0.6668,0.80935,0.59453,1.06779,0.0008614,0.0008614,0.0008614
16,1784.55,0.87187,0.6547,1.05438,0.8781,0.84969,0.87976,0.66252,0.82417,0.575,1.07243,0.0008515,0.0008515,0.0008515
17,1892.47,0.85329,0.64579,1.04253,0.87206,0.85639,0.88407,0.6717,0.82425,0.57694,1.07146,0.0008416,0.0008416,0.0008416
18,2001.31,0.85083,0.63332,1.04169,0.87894,0.85729,0.88876,0.6781,0.80585,0.55327,1.06423,0.0008317,0.0008317,0.0008317
19,2109.41,0.8432,0.62513,1.03933,0.86758,0.86299,0.89069,0.68439,0.79283,0.57835,1.05612,0.0008218,0.0008218,0.0008218
20,2217.51,0.83729,0.62355,1.03235,0.88026,0.86201,0.89597,0.69262,0.77185,0.53115,1.04342,0.0008119,0.0008119,0.0008119
21,2325.85,0.82848,0.61327,1.03193,0.87722,0.84665,0.89029,0.68033,0.78917,0.55005,1.04961,0.000802,0.000802,0.000802
22,2434.05,0.82749,0.60154,1.0308,0.88529,0.8662,0.89496,0.69261,0.79977,0.53853,1.05732,0.0007921,0.0007921,0.0007921
23,2542.24,0.81849,0.59915,1.02496,0.88058,0.86782,0.89362,0.69593,0.75816,0.52624,1.03079,0.0007822,0.0007822,0.0007822
24,2650.91,0.81569,0.58823,1.02745,0.89446,0.86188,0.89995,0.69859,0.77239,0.53089,1.03952,0.0007723,0.0007723,0.0007723
25,2759.71,0.81488,0.59085,1.02464,0.89962,0.8678,0.90141,0.70508,0.75723,0.51114,1.03409,0.0007624,0.0007624,0.0007624
26,2868.37,0.80212,0.58396,1.01839,0.90045,0.86487,0.89672,0.7034,0.75204,0.51382,1.03156,0.0007525,0.0007525,0.0007525
27,2976.39,0.80072,0.58202,1.01826,0.89676,0.87209,0.90369,0.70682,0.73344,0.50613,1.01946,0.0007426,0.0007426,0.0007426
28,3084.77,0.79308,0.57119,1.01323,0.89825,0.86401,0.90327,0.70993,0.74526,0.52297,1.03174,0.0007327,0.0007327,0.0007327
29,3193.07,0.78956,0.57253,1.01057,0.89575,0.87125,0.90481,0.71234,0.72995,0.50281,1.01636,0.0007228,0.0007228,0.0007228
30,3301.2,0.78869,0.56906,1.01113,0.90451,0.8796,0.90632,0.71534,0.7325,0.48014,1.02086,0.0007129,0.0007129,0.0007129
31,3409.16,0.78524,0.56097,1.01292,0.89743,0.88741,0.9084,0.71941,0.71285,0.47015,1.00786,0.000703,0.000703,0.000703
32,3518.05,0.78238,0.56205,1.00972,0.90456,0.87805,0.9048,0.70927,0.7566,0.48848,1.02627,0.0006931,0.0006931,0.0006931
33,3626.85,0.77612,0.55496,1.00357,0.90544,0.87911,0.90993,0.72502,0.71563,0.47451,1.01343,0.0006832,0.0006832,0.0006832
34,3736.05,0.76949,0.5483,1.00475,0.91106,0.87093,0.90855,0.72272,0.7193,0.47989,1.01211,0.0006733,0.0006733,0.0006733
35,3844.43,0.77072,0.5501,1.00078,0.90278,0.88028,0.90822,0.72398,0.7235,0.47561,1.01101,0.0006634,0.0006634,0.0006634
36,3952.6,0.76186,0.54143,1.00317,0.90631,0.87511,0.91458,0.72388,0.72514,0.46467,1.01219,0.0006535,0.0006535,0.0006535
37,4060.62,0.76127,0.53833,1.00035,0.90613,0.88668,0.9131,0.7311,0.70167,0.48785,1.0035,0.0006436,0.0006436,0.0006436
38,4168.94,0.76042,0.53314,0.99697,0.90934,0.8833,0.91186,0.72922,0.70536,0.4799,1.00985,0.0006337,0.0006337,0.0006337
39,4276.91,0.74839,0.52699,0.99246,0.908,0.87979,0.91077,0.73276,0.70195,0.45853,1.00031,0.0006238,0.0006238,0.0006238
40,4385.33,0.7513,0.52463,0.99344,0.90445,0.88882,0.91706,0.73945,0.6951,0.4498,0.99983,0.0006139,0.0006139,0.0006139
41,4493.43,0.74422,0.5225,0.99012,0.90893,0.88875,0.91762,0.7408,0.68035,0.43741,0.9893,0.000604,0.000604,0.000604
42,4601.83,0.73081,0.51651,0.98552,0.91842,0.88224,0.91959,0.74356,0.68857,0.45073,1.00006,0.0005941,0.0005941,0.0005941
43,4709.61,0.74203,0.5196,0.99058,0.90911,0.89344,0.91781,0.74407,0.67819,0.44961,0.99816,0.0005842,0.0005842,0.0005842
44,4818.58,0.72633,0.51402,0.98379,0.91361,0.89151,0.92068,0.74879,0.67623,0.44164,0.99724,0.0005743,0.0005743,0.0005743
45,4926.93,0.73366,0.50855,0.98555,0.92475,0.88401,0.9215,0.74957,0.67694,0.44109,0.99689,0.0005644,0.0005644,0.0005644
46,5034.95,0.72774,0.51015,0.9835,0.92335,0.894,0.92083,0.74945,0.66409,0.43303,0.98886,0.0005545,0.0005545,0.0005545
47,5143.03,0.72844,0.50878,0.98605,0.90712,0.89503,0.91919,0.74944,0.66401,0.43163,0.9882,0.0005446,0.0005446,0.0005446
48,5251.02,0.72823,0.50134,0.98428,0.91739,0.89176,0.9181,0.74735,0.67683,0.45136,0.99616,0.0005347,0.0005347,0.0005347
49,5359.1,0.71792,0.49666,0.97819,0.92488,0.88902,0.92275,0.7521,0.66915,0.43846,0.99555,0.0005248,0.0005248,0.0005248
50,5466.91,0.72131,0.50214,0.98173,0.91385,0.89274,0.92201,0.75201,0.66308,0.42544,0.98709,0.0005149,0.0005149,0.0005149
51,5574.8,0.71277,0.49214,0.9787,0.91671,0.89574,0.92531,0.75297,0.66365,0.41709,0.98336,0.000505,0.000505,0.000505
52,5683.74,0.70938,0.49472,0.97689,0.91984,0.8883,0.92107,0.7547,0.65329,0.41311,0.98335,0.0004951,0.0004951,0.0004951
53,5791.85,0.71011,0.49308,0.97577,0.92494,0.88536,0.92415,0.7589,0.65473,0.41991,0.97705,0.0004852,0.0004852,0.0004852
54,5900.39,0.7062,0.48644,0.97254,0.92229,0.89373,0.92373,0.76106,0.64206,0.41754,0.97464,0.0004753,0.0004753,0.0004753
55,6008.8,0.70741,0.48561,0.97342,0.90883,0.90287,0.92464,0.76232,0.64853,0.40517,0.98106,0.0004654,0.0004654,0.0004654
56,6117.09,0.70506,0.48104,0.97044,0.91023,0.90456,0.92663,0.75916,0.65808,0.3977,0.97983,0.0004555,0.0004555,0.0004555
57,6225.21,0.69997,0.48326,0.97403,0.91058,0.8975,0.92636,0.76132,0.64899,0.41464,0.98284,0.0004456,0.0004456,0.0004456
58,6333.25,0.69715,0.47947,0.96876,0.91374,0.90269,0.92582,0.76313,0.64731,0.39701,0.97611,0.0004357,0.0004357,0.0004357
59,6441.98,0.69366,0.47153,0.96778,0.92281,0.90126,0.93001,0.76616,0.64397,0.3957,0.98109,0.0004258,0.0004258,0.0004258
60,6550.12,0.69184,0.47168,0.96864,0.91821,0.9001,0.927,0.76712,0.63932,0.3923,0.97506,0.0004159,0.0004159,0.0004159
61,6658.23,0.68675,0.46808,0.96779,0.91523,0.90056,0.92666,0.76827,0.63068,0.3925,0.97035,0.000406,0.000406,0.000406
62,6766.45,0.68834,0.4725,0.96773,0.91975,0.90234,0.92831,0.76537,0.63609,0.38402,0.968,0.0003961,0.0003961,0.0003961
63,6874.41,0.68506,0.46977,0.96173,0.92951,0.89404,0.92929,0.76582,0.64032,0.38888,0.9758,0.0003862,0.0003862,0.0003862
64,6983.01,0.6788,0.46169,0.96126,0.92508,0.89878,0.93121,0.77163,0.62925,0.38067,0.96949,0.0003763,0.0003763,0.0003763
65,7091.47,0.6742,0.45705,0.96083,0.92242,0.90392,0.93022,0.77151,0.62998,0.38095,0.96838,0.0003664,0.0003664,0.0003664
66,7200.12,0.674,0.45641,0.9626,0.92596,0.90054,0.92904,0.76986,0.63143,0.3831,0.9679,0.0003565,0.0003565,0.0003565
67,7308.96,0.67362,0.45825,0.9598,0.9213,0.90772,0.93192,0.77061,0.63501,0.37752,0.96874,0.0003466,0.0003466,0.0003466
68,7417.25,0.67038,0.45279,0.95787,0.92248,0.90587,0.93048,0.77272,0.62194,0.37669,0.96412,0.0003367,0.0003367,0.0003367
