epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3132,1.39864,2.76149,1.47585,0.44567,0.69171,0.61709,0.43389,1.26051,1.6029,1.34726,0.000271759,0.000271759,0.000271759
2,58.2172,1.16472,1.27506,1.25881,0.54992,0.5399,0.50428,0.37116,1.60173,2.99018,1.78829,0.000543986,0.000543986,0.000543986
3,72.7668,1.15267,1.18865,1.25462,0.56921,0.48978,0.40512,0.22505,1.64558,3.70747,1.79393,0.000810716,0.000810716,0.000810716
4,87.3147,1.19886,1.20454,1.28805,0.60781,0.40003,0.44144,0.25435,1.57428,5.27922,1.797,0.00080826,0.00080826,0.00080826
5,101.639,1.14461,1.10123,1.25408,0.6292,0.6397,0.67724,0.47008,1.15738,2.04696,1.37816,0.000800013,0.000800013,0.000800013
6,116.164,1.10416,1.04539,1.23017,0.67197,0.6466,0.67441,0.47459,1.08413,2.03465,1.25958,0.000791767,0.000791767,0.000791767
7,130.645,1.07524,1.01267,1.21014,0.68664,0.77645,0.74751,0.53648,0.99955,1.57413,1.2055,0.00078352,0.00078352,0.00078352
8,145.035,1.01892,0.9441,1.18196,0.7025,0.67716,0.70619,0.46741,1.17004,1.60109,1.30679,0.000775273,0.000775273,0.000775273
9,159.249,1.00021,0.92633,1.16902,0.83108,0.66065,0.72313,0.55472,0.97392,1.00324,1.16119,0.000767026,0.000767026,0.000767026
10,173.569,0.97348,0.91082,1.15281,0.68823,0.80073,0.802,0.60513,0.95507,0.80755,1.16634,0.00075878,0.00075878,0.00075878
11,187.95,0.96407,0.89441,1.1461,0.71912,0.78334,0.7748,0.57298,0.93648,1.14548,1.16683,0.000750533,0.000750533,0.000750533
12,202.103,0.94319,0.85048,1.14106,0.74036,0.80704,0.81615,0.61489,0.95553,0.94116,1.16613,0.000742286,0.000742286,0.000742286
13,216.412,0.90291,0.8111,1.12379,0.76931,0.82154,0.8285,0.6319,0.92927,0.81149,1.16118,0.00073404,0.00073404,0.00073404
14,230.727,0.90027,0.82765,1.1204,0.73479,0.80793,0.79476,0.61955,0.90466,0.97538,1.16088,0.000725793,0.000725793,0.000725793
15,244.833,0.92547,0.83044,1.12577,0.81118,0.75992,0.8249,0.62698,0.9414,0.73973,1.14776,0.000717546,0.000717546,0.000717546
16,258.946,0.89101,0.8047,1.11318,0.75758,0.79383,0.82123,0.64953,0.86954,0.8815,1.12039,0.000709299,0.000709299,0.000709299
17,273.253,0.8747,0.79062,1.10214,0.81681,0.75202,0.81134,0.63894,0.87271,0.7106,1.12924,0.000701053,0.000701053,0.000701053
18,287.443,0.86733,0.7719,1.11054,0.86409,0.76898,0.81536,0.63644,0.93689,0.86211,1.17023,0.000692806,0.000692806,0.000692806
19,301.69,0.85274,0.76992,1.08791,0.83008,0.79381,0.84312,0.65804,0.88524,0.7939,1.14613,0.000684559,0.000684559,0.000684559
20,316.062,0.83645,0.73812,1.08052,0.79626,0.82217,0.84415,0.64344,0.86835,0.98204,1.12385,0.000676313,0.000676313,0.000676313
21,330.36,0.84316,0.74181,1.09217,0.83157,0.8184,0.86586,0.67636,0.83374,0.71979,1.11138,0.000668066,0.000668066,0.000668066
22,344.684,0.83671,0.74447,1.08833,0.83406,0.7964,0.85331,0.67542,0.82682,0.66814,1.10594,0.000659819,0.000659819,0.000659819
23,358.844,0.82342,0.73438,1.08406,0.79219,0.815,0.83497,0.64497,0.85846,0.71275,1.14702,0.000651573,0.000651573,0.000651573
24,373.001,0.80213,0.68972,1.07114,0.84154,0.79522,0.85281,0.65642,0.89811,0.7247,1.15534,0.000643326,0.000643326,0.000643326
25,387.19,0.80838,0.68734,1.0657,0.83214,0.83551,0.8768,0.68025,0.86506,0.62015,1.12135,0.000635079,0.000635079,0.000635079
26,401.513,0.79087,0.69289,1.06231,0.82951,0.81619,0.86008,0.66851,0.81686,0.62846,1.10053,0.000626832,0.000626832,0.000626832
