epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9957,1.56272,3.67777,1.54981,0.74418,0.57723,0.54884,0.40191,1.24033,3.93114,1.35069,0.000271759,0.000271759,0.000271759
2,52.8145,1.15476,1.36954,1.2423,0.75909,0.67927,0.70977,0.51758,1.12763,1.20858,1.24518,0.000543986,0.000543986,0.000543986
3,62.2991,1.12058,1.18393,1.22765,0.51752,0.69306,0.64095,0.44901,1.19531,1.46544,1.36365,0.000810716,0.000810716,0.000810716
4,71.7428,1.14341,1.16399,1.24129,0.73749,0.68476,0.72325,0.51802,1.12583,1.13617,1.24565,0.00080826,0.00080826,0.00080826
5,81.3017,1.10112,1.06597,1.21444,0.63636,0.79447,0.75678,0.54598,1.06154,1.19192,1.25854,0.000800013,0.000800013,0.000800013
6,90.6682,1.05075,1.02012,1.18608,0.68176,0.79532,0.73626,0.51994,1.08621,1.09751,1.23435,0.000791767,0.000791767,0.000791767
7,100.198,1.02189,0.98636,1.16917,0.6701,0.78974,0.77674,0.55822,0.98681,1.22311,1.17767,0.00078352,0.00078352,0.00078352
8,109.597,1.0158,0.92387,1.16588,0.68275,0.76631,0.73443,0.55504,0.99789,1.05495,1.19285,0.000775273,0.000775273,0.000775273
9,118.886,0.99613,0.91353,1.15923,0.77119,0.81702,0.82392,0.62074,0.91221,0.81839,1.14061,0.000767026,0.000767026,0.000767026
10,128.273,0.95518,0.88378,1.13093,0.8182,0.78258,0.82907,0.6357,0.92272,0.8152,1.14021,0.00075878,0.00075878,0.00075878
11,137.646,0.94829,0.86165,1.12264,0.81662,0.72776,0.79204,0.60402,0.94543,0.86842,1.15191,0.000750533,0.000750533,0.000750533
12,146.879,0.93087,0.82091,1.11961,0.78115,0.82856,0.81044,0.61611,0.94658,0.85566,1.16108,0.000742286,0.000742286,0.000742286
13,156.194,0.907,0.80612,1.10898,0.78104,0.85324,0.83753,0.63868,0.92891,0.76973,1.1274,0.00073404,0.00073404,0.00073404
14,165.588,0.89332,0.80334,1.10291,0.71183,0.84491,0.82242,0.63945,0.8747,0.71235,1.11207,0.000725793,0.000725793,0.000725793
15,175.017,0.91094,0.80212,1.10611,0.76435,0.79707,0.82208,0.62574,0.92606,0.72281,1.12107,0.000717546,0.000717546,0.000717546
16,184.405,0.87797,0.77219,1.09666,0.84397,0.80777,0.85301,0.6573,0.89086,0.7646,1.10971,0.000709299,0.000709299,0.000709299
17,193.814,0.86895,0.77788,1.08555,0.79251,0.81251,0.83946,0.6565,0.88913,0.78685,1.10842,0.000701053,0.000701053,0.000701053
18,203.031,0.86259,0.76252,1.09836,0.83414,0.76143,0.82812,0.65041,0.85842,0.65084,1.10892,0.000692806,0.000692806,0.000692806
19,212.345,0.85371,0.74406,1.07886,0.80213,0.80488,0.82885,0.6434,0.89538,0.9293,1.1322,0.000684559,0.000684559,0.000684559
20,221.581,0.83329,0.7201,1.0641,0.8,0.82975,0.84091,0.67002,0.87087,0.72928,1.10554,0.000676313,0.000676313,0.000676313
21,230.963,0.85104,0.74045,1.07373,0.84393,0.7504,0.84226,0.66702,0.89019,0.77442,1.12373,0.000668066,0.000668066,0.000668066
22,240.181,0.83527,0.72613,1.06886,0.80533,0.83071,0.85761,0.67256,0.81906,0.62038,1.07701,0.000659819,0.000659819,0.000659819
23,249.516,0.81761,0.72127,1.06222,0.80282,0.84938,0.85285,0.66934,0.84308,0.65656,1.08295,0.000651573,0.000651573,0.000651573
24,258.758,0.81151,0.68404,1.05154,0.82252,0.81469,0.85543,0.66026,0.85916,0.68323,1.0991,0.000643326,0.000643326,0.000643326
25,268.035,0.79527,0.6692,1.04155,0.85023,0.81962,0.88245,0.68645,0.8241,0.58967,1.10423,0.000635079,0.000635079,0.000635079
26,277.405,0.78103,0.66511,1.03897,0.83448,0.78815,0.84804,0.66469,0.84527,0.77366,1.09754,0.000626832,0.000626832,0.000626832
27,286.742,0.78019,0.65794,1.033,0.84061,0.83106,0.88507,0.70341,0.7927,0.61334,1.06034,0.000618586,0.000618586,0.000618586
28,296.145,0.78196,0.64479,1.03476,0.83174,0.85656,0.8835,0.70898,0.79489,0.57051,1.07134,0.000610339,0.000610339,0.000610339
29,305.522,0.77664,0.65273,1.03612,0.83707,0.88161,0.88003,0.70287,0.78253,0.57982,1.05369,0.000602092,0.000602092,0.000602092
30,314.835,0.74871,0.62438,1.02503,0.84776,0.81506,0.85063,0.68404,0.82186,0.6355,1.08503,0.000593846,0.000593846,0.000593846
31,324.157,0.76695,0.61896,1.03714,0.85514,0.83124,0.88059,0.68833,0.80515,0.5651,1.06213,0.000585599,0.000585599,0.000585599
32,333.559,0.76011,0.63209,1.02805,0.84163,0.84359,0.86735,0.70112,0.77211,0.59884,1.06341,0.000577352,0.000577352,0.000577352
33,342.964,0.74462,0.61561,1.01762,0.85267,0.82725,0.88557,0.7164,0.76897,0.58694,1.052,0.000569106,0.000569106,0.000569106
34,352.322,0.75033,0.61736,1.01938,0.86298,0.86417,0.89497,0.72435,0.7695,0.54892,1.05604,0.000560859,0.000560859,0.000560859
35,361.755,0.74751,0.62267,1.02093,0.89016,0.81751,0.87967,0.71786,0.77977,0.5632,1.07633,0.000552612,0.000552612,0.000552612
36,371.078,0.72853,0.60047,1.00822,0.83071,0.85822,0.88473,0.71678,0.77006,0.53435,1.06004,0.000544365,0.000544365,0.000544365
37,380.483,0.72685,0.59139,1.01069,0.86507,0.84149,0.87697,0.70355,0.77764,0.55388,1.07212,0.000536119,0.000536119,0.000536119
38,389.752,0.72257,0.57843,1.00841,0.83481,0.8717,0.88333,0.73246,0.74469,0.55686,1.03359,0.000527872,0.000527872,0.000527872
39,399.202,0.72188,0.58865,1.00887,0.84217,0.80223,0.86652,0.70067,0.74782,0.55228,1.03561,0.000519625,0.000519625,0.000519625
40,408.474,0.7263,0.58248,1.01078,0.8569,0.87549,0.89974,0.72402,0.76826,0.55994,1.05558,0.000511379,0.000511379,0.000511379
41,417.661,0.70188,0.57042,0.99393,0.85555,0.8456,0.89507,0.73089,0.74619,0.53717,1.04303,0.000503132,0.000503132,0.000503132
