epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3443,4.30064,5.37303,4.19583,0,0,0,0,4.62477,4.59327,4.16384,0.000271759,0.000271759,0.000271759
2,55.4609,3.89559,4.86194,3.75547,0,0,0,0,4.84012,4.73709,4.3917,0.000543986,0.000543986,0.000543986
3,66.4051,3.37829,4.40819,3.21842,0.00063,0.06445,0.0006,0.00015,4.14379,4.86793,3.87262,0.000810716,0.000810716,0.000810716
4,77.0685,3.00301,3.84778,2.83503,0.51654,0.22351,0.15501,0.04883,2.62486,3.90786,2.92741,0.00080826,0.00080826,0.00080826
5,87.6642,2.74695,3.35574,2.62332,0.54727,0.24105,0.19329,0.0817,2.5466,3.06882,2.6905,0.000800013,0.000800013,0.000800013
6,98.4731,2.57175,3.03226,2.49377,0.67583,0.27893,0.31245,0.13815,2.29912,2.82795,2.55227,0.000791767,0.000791767,0.000791767
7,109.339,2.42963,2.78529,2.37016,0.7724,0.36388,0.40348,0.22069,1.9877,2.41771,2.33198,0.00078352,0.00078352,0.00078352
8,119.91,2.32015,2.61908,2.28257,0.61023,0.45806,0.45112,0.2281,1.84051,2.39966,2.23978,0.000775273,0.000775273,0.000775273
9,130.41,2.22692,2.42399,2.19477,0.8076,0.47352,0.48101,0.25837,2.098,2.04542,2.3256,0.000767026,0.000767026,0.000767026
10,141.044,2.14255,2.33223,2.12997,0.65501,0.52658,0.49477,0.27257,1.80353,1.95326,2.11244,0.00075878,0.00075878,0.00075878
11,151.731,2.05816,2.20057,2.04598,0.77833,0.51623,0.49923,0.29835,1.72276,1.85095,2.02308,0.000750533,0.000750533,0.000750533
12,162.5,2.00817,2.11512,1.99633,0.82991,0.53943,0.55856,0.3502,1.64497,1.76407,1.95988,0.000742286,0.000742286,0.000742286
13,173.204,1.95893,2.02917,1.96041,0.87944,0.45984,0.54377,0.33446,1.60291,1.89676,1.93432,0.00073404,0.00073404,0.00073404
14,183.716,1.91868,1.9797,1.91919,0.6857,0.61938,0.55972,0.3616,1.52146,1.58506,1.8332,0.000725793,0.000725793,0.000725793
15,194.23,1.92053,1.92309,1.90354,0.71902,0.60262,0.56798,0.31379,1.6845,1.61502,1.93255,0.000717546,0.000717546,0.000717546
16,204.847,1.84599,1.84322,1.84664,0.70294,0.62395,0.56818,0.35364,1.48332,1.59293,1.81291,0.000709299,0.000709299,0.000709299
17,215.305,1.81203,1.80153,1.81359,0.70204,0.57521,0.56418,0.34428,1.6044,1.80729,1.8494,0.000701053,0.000701053,0.000701053
18,225.762,1.774,1.7792,1.79647,0.71662,0.63631,0.59768,0.37134,1.46323,1.44723,1.76432,0.000692806,0.000692806,0.000692806
19,236.69,1.75055,1.72791,1.75797,0.778,0.6391,0.6216,0.4127,1.37387,1.43286,1.72329,0.000684559,0.000684559,0.000684559
20,247.437,1.71734,1.67125,1.71702,0.76146,0.63175,0.62764,0.41254,1.3435,1.41705,1.68996,0.000676313,0.000676313,0.000676313
21,258.277,1.67953,1.65995,1.70114,0.74822,0.6424,0.62373,0.39937,1.35774,1.52515,1.68695,0.000668066,0.000668066,0.000668066
22,269.111,1.68632,1.64537,1.69299,0.76817,0.63088,0.63226,0.43418,1.30132,1.39892,1.66661,0.000659819,0.000659819,0.000659819
23,279.885,1.65225,1.60484,1.66951,0.77534,0.66022,0.6397,0.39078,1.48052,1.38324,1.74698,0.000651573,0.000651573,0.000651573
24,290.798,1.62402,1.53736,1.63916,0.76773,0.64009,0.62273,0.37818,1.4999,1.45428,1.76235,0.000643326,0.000643326,0.000643326
25,301.574,1.59604,1.52254,1.61966,0.75194,0.65405,0.6498,0.44417,1.26891,1.25457,1.61604,0.000635079,0.000635079,0.000635079
26,312.065,1.61184,1.53779,1.62113,0.81056,0.6446,0.64245,0.4407,1.30187,1.32078,1.62429,0.000626832,0.000626832,0.000626832
27,322.772,1.58846,1.47249,1.59616,0.77334,0.6534,0.62186,0.41776,1.31365,1.29027,1.62934,0.000618586,0.000618586,0.000618586
28,333.452,1.54479,1.46246,1.57544,0.84024,0.65448,0.65824,0.45958,1.21154,1.25001,1.56278,0.000610339,0.000610339,0.000610339
29,344.418,1.53308,1.43586,1.57471,0.80802,0.65572,0.65915,0.43748,1.30419,1.24077,1.62429,0.000602092,0.000602092,0.000602092
30,355.121,1.51061,1.39074,1.55896,0.81123,0.66052,0.65809,0.45888,1.20859,1.22716,1.53359,0.000593846,0.000593846,0.000593846
31,366.057,1.5422,1.44536,1.56982,0.7703,0.66955,0.65782,0.46975,1.19851,1.23115,1.577,0.000585599,0.000585599,0.000585599
32,376.91,1.49167,1.4082,1.53313,0.80717,0.66815,0.66841,0.47583,1.18961,1.20421,1.54325,0.000577352,0.000577352,0.000577352
33,387.79,1.46228,1.36519,1.51422,0.77966,0.67783,0.68298,0.474,1.19105,1.23369,1.51206,0.000569106,0.000569106,0.000569106
34,398.688,1.47646,1.38271,1.53072,0.78833,0.67504,0.66954,0.47431,1.24885,1.31322,1.54892,0.000560859,0.000560859,0.000560859
35,409.478,1.46805,1.35714,1.50898,0.81447,0.67872,0.67353,0.48518,1.16932,1.21717,1.49168,0.000552612,0.000552612,0.000552612
36,420.222,1.45902,1.37668,1.50538,0.83202,0.65697,0.70193,0.47975,1.22029,1.1721,1.56429,0.000544365,0.000544365,0.000544365
37,430.959,1.44537,1.33815,1.50926,0.82275,0.66996,0.70149,0.50505,1.12598,1.202,1.47248,0.000536119,0.000536119,0.000536119
38,441.665,1.42514,1.31235,1.4724,0.79745,0.66886,0.69245,0.49839,1.14529,1.23058,1.47428,0.000527872,0.000527872,0.000527872
39,452.527,1.42645,1.32852,1.48194,0.6888,0.72884,0.6919,0.49171,1.15203,1.11115,1.48726,0.000519625,0.000519625,0.000519625
40,463.255,1.42388,1.2938,1.47833,0.79969,0.72529,0.72529,0.48715,1.196,1.19649,1.50822,0.000511379,0.000511379,0.000511379
41,474.105,1.37578,1.26704,1.4422,0.78543,0.73239,0.72646,0.50373,1.1673,1.13527,1.47536,0.000503132,0.000503132,0.000503132
42,485.056,1.37625,1.29309,1.44515,0.73878,0.73356,0.70088,0.49404,1.1935,1.16873,1.50895,0.000494885,0.000494885,0.000494885
43,496.043,1.38508,1.28822,1.45968,0.71169,0.76983,0.73008,0.54783,1.07142,1.1262,1.44265,0.000486639,0.000486639,0.000486639
44,506.719,1.34901,1.24238,1.42293,0.72902,0.72136,0.71101,0.49385,1.15334,1.2199,1.49483,0.000478392,0.000478392,0.000478392
45,517.369,1.34267,1.22587,1.42667,0.72897,0.73262,0.7218,0.51291,1.13311,1.0758,1.46131,0.000470145,0.000470145,0.000470145
46,527.856,1.34118,1.23482,1.42292,0.72352,0.75949,0.73005,0.54005,1.06449,1.08564,1.41779,0.000461898,0.000461898,0.000461898
47,538.78,1.33938,1.22634,1.40231,0.73071,0.74153,0.72799,0.52405,1.08682,1.07504,1.43416,0.000453652,0.000453652,0.000453652
48,549.512,1.3395,1.21451,1.41409,0.73053,0.7577,0.74296,0.52973,1.09558,1.06997,1.43406,0.000445405,0.000445405,0.000445405
49,560.297,1.31495,1.21339,1.41157,0.76244,0.73576,0.73907,0.52732,1.10038,1.12787,1.43264,0.000437158,0.000437158,0.000437158
50,571.094,1.31961,1.2104,1.40341,0.75155,0.75226,0.75702,0.53404,1.10973,1.07839,1.42364,0.000428912,0.000428912,0.000428912
51,581.703,1.31821,1.19822,1.40848,0.75162,0.75745,0.74794,0.53641,1.09236,1.07271,1.4152,0.000420665,0.000420665,0.000420665
52,592.416,1.29499,1.17419,1.37298,0.70885,0.76071,0.74174,0.53716,1.05088,1.08148,1.41138,0.000412418,0.000412418,0.000412418
53,603.149,1.29628,1.18021,1.37645,0.74636,0.78826,0.74426,0.54349,1.05369,1.10803,1.40531,0.000404172,0.000404172,0.000404172
54,613.663,1.29048,1.18122,1.37166,0.7507,0.75365,0.75828,0.55347,1.0457,1.03406,1.40352,0.000395925,0.000395925,0.000395925
55,624.422,1.28603,1.17789,1.37703,0.76084,0.75588,0.75796,0.54019,1.1159,1.06074,1.43077,0.000387678,0.000387678,0.000387678
56,635.071,1.28163,1.17665,1.37327,0.74015,0.77179,0.7509,0.53371,1.12937,1.07748,1.46122,0.000379431,0.000379431,0.000379431
57,645.895,1.2845,1.15112,1.37191,0.74456,0.74744,0.75251,0.5604,1.05812,1.09124,1.38676,0.000371185,0.000371185,0.000371185
58,656.7,1.28257,1.15269,1.37293,0.76558,0.75134,0.7715,0.55141,1.03769,1.0106,1.39385,0.000362938,0.000362938,0.000362938
59,667.604,1.24637,1.12873,1.35575,0.70996,0.78475,0.76393,0.56705,1.01749,0.98861,1.36992,0.000354691,0.000354691,0.000354691
60,678.418,1.23872,1.11926,1.34389,0.74704,0.76004,0.75786,0.54674,1.03583,0.97485,1.39113,0.000346445,0.000346445,0.000346445
61,689.289,1.24908,1.13506,1.35749,0.77534,0.73915,0.76512,0.56177,1.05275,0.9971,1.40783,0.000338198,0.000338198,0.000338198
62,699.934,1.23771,1.13098,1.34085,0.76554,0.73537,0.75767,0.56424,1.0286,0.97683,1.38826,0.000329951,0.000329951,0.000329951
63,710.834,1.20774,1.09834,1.31706,0.73799,0.79049,0.77406,0.56655,1.01793,0.98032,1.37467,0.000321705,0.000321705,0.000321705
64,721.529,1.23564,1.1211,1.35294,0.76624,0.75683,0.77399,0.58092,0.99864,0.95523,1.3771,0.000313458,0.000313458,0.000313458
65,732.357,1.20082,1.08355,1.32633,0.81045,0.72986,0.77107,0.57648,1.01027,0.97022,1.37252,0.000305211,0.000305211,0.000305211
66,743.135,1.19603,1.08432,1.31821,0.74704,0.76578,0.76658,0.57398,0.99238,0.94464,1.35909,0.000296964,0.000296964,0.000296964
67,753.7,1.19447,1.07572,1.32171,0.77042,0.77372,0.78171,0.57725,1.01786,0.97377,1.36335,0.000288718,0.000288718,0.000288718
68,764.421,1.18689,1.06001,1.30744,0.75532,0.79764,0.78549,0.57833,1.01672,0.93721,1.38719,0.000280471,0.000280471,0.000280471
69,775.192,1.21006,1.08496,1.32437,0.76925,0.7631,0.77297,0.57271,1.01546,0.9461,1.35191,0.000272224,0.000272224,0.000272224
