epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5594,4.2317,5.30976,4.17408,0,0,0,0,4.712,4.60571,4.2075,0.000271759,0.000271759,0.000271759
2,62.7081,3.64398,4.4661,3.53949,0,0,0,0,4.71512,4.76961,4.25155,0.000543986,0.000543986,0.000543986
3,74.4504,3.00006,3.67291,2.95759,0.67871,0.08232,0.13434,0.02722,3.25011,3.63795,3.23417,0.000810716,0.000810716,0.000810716
4,86.1569,2.67888,3.08309,2.64895,0.47139,0.38388,0.38801,0.17347,2.41037,3.3547,2.64233,0.00080826,0.00080826,0.00080826
5,97.7851,2.44452,2.68127,2.45334,0.48348,0.37292,0.42993,0.16648,2.34331,2.71251,2.46093,0.000800013,0.000800013,0.000800013
6,109.231,2.28467,2.42773,2.31299,0.74707,0.49358,0.5064,0.27003,1.90668,1.95878,2.14111,0.000791767,0.000791767,0.000791767
7,120.951,2.14127,2.22554,2.17572,0.59961,0.51509,0.51076,0.2559,1.90294,1.94381,2.06667,0.00078352,0.00078352,0.00078352
8,132.565,2.01798,2.07176,2.06522,0.78222,0.55639,0.5695,0.33668,1.68811,1.75193,1.88255,0.000775273,0.000775273,0.000775273
9,144.178,1.94033,1.91712,1.97407,0.75689,0.61115,0.60309,0.36306,1.55451,1.51825,1.8016,0.000767026,0.000767026,0.000767026
10,155.863,1.85554,1.86069,1.90952,0.71242,0.61338,0.59403,0.38133,1.50127,1.55448,1.76727,0.00075878,0.00075878,0.00075878
11,167.57,1.7768,1.73577,1.81261,0.76617,0.60701,0.61528,0.39213,1.50339,1.47877,1.72701,0.000750533,0.000750533,0.000750533
12,179.289,1.72125,1.6502,1.76078,0.72782,0.65319,0.65182,0.43881,1.30783,1.5349,1.58448,0.000742286,0.000742286,0.000742286
13,190.991,1.66194,1.59636,1.71397,0.78423,0.64673,0.67086,0.43467,1.34353,1.29564,1.61304,0.00073404,0.00073404,0.00073404
14,202.528,1.62163,1.54868,1.6768,0.79455,0.66549,0.68136,0.46444,1.26737,1.39992,1.54502,0.000725793,0.000725793,0.000725793
15,214.318,1.62094,1.51966,1.65945,0.80948,0.63157,0.67785,0.45151,1.30169,1.27797,1.57894,0.000717546,0.000717546,0.000717546
16,225.864,1.55163,1.45703,1.60429,0.75364,0.686,0.71118,0.45392,1.35817,1.24151,1.55969,0.000709299,0.000709299,0.000709299
17,237.559,1.54214,1.43717,1.59028,0.67848,0.72845,0.72624,0.49322,1.2184,1.26565,1.50104,0.000701053,0.000701053,0.000701053
18,249.467,1.50639,1.41289,1.57973,0.766,0.72132,0.7289,0.50119,1.18719,1.13961,1.45236,0.000692806,0.000692806,0.000692806
19,261.185,1.49302,1.38187,1.53951,0.76519,0.69597,0.7069,0.51051,1.157,1.13448,1.44877,0.000684559,0.000684559,0.000684559
20,272.815,1.44818,1.33164,1.50279,0.69868,0.75331,0.72071,0.52137,1.11365,1.19457,1.40738,0.000676313,0.000676313,0.000676313
21,284.686,1.43015,1.32222,1.49587,0.75444,0.68709,0.70902,0.49976,1.08699,1.20946,1.41084,0.000668066,0.000668066,0.000668066
22,296.354,1.42115,1.31074,1.48463,0.78009,0.6911,0.72823,0.50876,1.19875,1.17083,1.48606,0.000659819,0.000659819,0.000659819
23,308.134,1.38062,1.27951,1.45839,0.79354,0.72378,0.73128,0.51738,1.12603,1.17573,1.42133,0.000651573,0.000651573,0.000651573
24,319.715,1.36315,1.22591,1.43605,0.71559,0.72559,0.7227,0.52758,1.12692,1.12749,1.44163,0.000643326,0.000643326,0.000643326
25,331.553,1.34156,1.21993,1.41784,0.82292,0.70119,0.73876,0.51632,1.16656,1.0556,1.44369,0.000635079,0.000635079,0.000635079
26,343.207,1.34134,1.23269,1.41518,0.72215,0.76832,0.729,0.54891,1.10406,1.17093,1.39645,0.000626832,0.000626832,0.000626832
27,354.936,1.30346,1.18536,1.38332,0.70038,0.76685,0.72331,0.51492,1.09534,1.06464,1.38978,0.000618586,0.000618586,0.000618586
28,366.586,1.28831,1.17901,1.37783,0.74964,0.73653,0.74509,0.53249,1.05034,1.04474,1.35705,0.000610339,0.000610339,0.000610339
29,378.414,1.27472,1.16772,1.36705,0.80607,0.72316,0.75967,0.52754,1.12409,1.04479,1.39455,0.000602092,0.000602092,0.000602092
30,390.126,1.23995,1.11937,1.34828,0.7484,0.73424,0.75165,0.52973,1.07757,1.06355,1.35222,0.000593846,0.000593846,0.000593846
31,401.843,1.27025,1.15712,1.35959,0.74986,0.73467,0.74718,0.54608,1.05343,1.03893,1.34895,0.000585599,0.000585599,0.000585599
32,413.662,1.25375,1.13717,1.34277,0.76372,0.78577,0.77449,0.57923,0.99329,1.02112,1.32028,0.000577352,0.000577352,0.000577352
33,425.516,1.2292,1.11607,1.33492,0.71534,0.71035,0.74348,0.53893,1.07549,1.0396,1.35231,0.000569106,0.000569106,0.000569106
34,437.174,1.23237,1.12859,1.34359,0.77906,0.72053,0.75493,0.56457,1.00558,0.98045,1.31921,0.000560859,0.000560859,0.000560859
35,448.806,1.21208,1.09932,1.31996,0.71584,0.76148,0.74337,0.55635,1.00838,0.98511,1.32992,0.000552612,0.000552612,0.000552612
36,460.499,1.21112,1.11627,1.3163,0.71043,0.78047,0.75637,0.55096,1.04024,0.96462,1.34669,0.000544365,0.000544365,0.000544365
37,472.289,1.20025,1.07935,1.31292,0.76606,0.76627,0.77614,0.58055,0.96356,0.95604,1.30268,0.000536119,0.000536119,0.000536119
38,483.993,1.17578,1.07154,1.29889,0.74972,0.75489,0.76886,0.56483,1.01057,1.04422,1.33745,0.000527872,0.000527872,0.000527872
39,495.667,1.19306,1.08712,1.30544,0.74401,0.7898,0.76717,0.56147,0.97437,0.9743,1.30368,0.000519625,0.000519625,0.000519625
40,507.218,1.17401,1.05269,1.29556,0.75499,0.77035,0.77489,0.57597,1.02469,0.9932,1.31319,0.000511379,0.000511379,0.000511379
41,518.859,1.14212,1.03283,1.26985,0.74024,0.81274,0.78435,0.59786,0.98358,0.91938,1.28268,0.000503132,0.000503132,0.000503132
42,530.662,1.13396,1.04103,1.26554,0.72912,0.76874,0.75785,0.57099,0.97974,0.93347,1.29559,0.000494885,0.000494885,0.000494885
43,542.387,1.14736,1.05397,1.28783,0.74642,0.794,0.78942,0.59623,0.94716,0.89257,1.28349,0.000486639,0.000486639,0.000486639
44,554.083,1.10871,1.00763,1.24851,0.77391,0.75327,0.79131,0.58144,0.95778,0.89616,1.28979,0.000478392,0.000478392,0.000478392
45,565.783,1.10417,0.99494,1.2528,0.72792,0.80919,0.78756,0.58521,1.01142,0.89703,1.3031,0.000470145,0.000470145,0.000470145
46,577.334,1.11605,1.01122,1.2593,0.77084,0.77732,0.79587,0.58584,0.96086,0.9596,1.27514,0.000461898,0.000461898,0.000461898
47,588.952,1.10035,0.99289,1.23418,0.79815,0.80414,0.80922,0.5958,0.97213,0.87311,1.29011,0.000453652,0.000453652,0.000453652
48,600.72,1.09052,0.98071,1.23688,0.73883,0.7957,0.79288,0.59902,0.95238,0.8858,1.28516,0.000445405,0.000445405,0.000445405
49,612.426,1.07863,0.97557,1.24066,0.74608,0.80131,0.78537,0.59482,0.93712,0.92949,1.28452,0.000437158,0.000437158,0.000437158
50,624.172,1.0918,0.97447,1.23934,0.75748,0.76746,0.79048,0.60793,0.9735,0.8633,1.29077,0.000428912,0.000428912,0.000428912
51,635.938,1.07513,0.96558,1.23801,0.79057,0.76684,0.79432,0.60524,0.93098,0.87084,1.26186,0.000420665,0.000420665,0.000420665
52,647.646,1.06716,0.95818,1.2159,0.82004,0.75045,0.8095,0.61914,0.92119,0.90129,1.27106,0.000412418,0.000412418,0.000412418
53,659.361,1.05689,0.95891,1.21309,0.83951,0.74507,0.79439,0.61519,0.93985,0.85809,1.26359,0.000404172,0.000404172,0.000404172
54,670.912,1.05186,0.96156,1.20596,0.739,0.81492,0.79577,0.59243,0.97488,0.82134,1.30134,0.000395925,0.000395925,0.000395925
55,682.598,1.05961,0.9622,1.21915,0.75302,0.79236,0.80726,0.60799,0.92242,0.87217,1.26539,0.000387678,0.000387678,0.000387678
56,694.341,1.02612,0.94144,1.19634,0.74932,0.80366,0.79415,0.5963,0.97983,0.83309,1.28735,0.000379431,0.000379431,0.000379431
57,706.237,1.05101,0.93202,1.21172,0.77897,0.75496,0.80083,0.61489,0.95338,0.83714,1.27423,0.000371185,0.000371185,0.000371185
58,717.834,1.04581,0.93601,1.2156,0.833,0.789,0.82468,0.61842,0.95711,0.81618,1.2653,0.000362938,0.000362938,0.000362938
59,729.538,1.01921,0.90822,1.19496,0.77879,0.77764,0.80324,0.61491,0.91775,0.78589,1.25759,0.000354691,0.000354691,0.000354691
60,741.173,1.00416,0.90198,1.18512,0.80419,0.78333,0.82202,0.63389,0.90768,0.77765,1.25498,0.000346445,0.000346445,0.000346445
61,752.875,1.01729,0.92458,1.19399,0.79779,0.80765,0.82172,0.62592,0.92403,0.78581,1.26262,0.000338198,0.000338198,0.000338198
62,764.432,1.008,0.91661,1.18418,0.82721,0.76458,0.82416,0.61731,0.94008,0.78858,1.27303,0.000329951,0.000329951,0.000329951
63,776.064,0.97942,0.88145,1.16451,0.75592,0.78696,0.80447,0.62515,0.92208,0.85519,1.24658,0.000321705,0.000321705,0.000321705
64,787.701,0.98501,0.88739,1.18298,0.81412,0.80349,0.82683,0.64493,0.86577,0.78412,1.2251,0.000313458,0.000313458,0.000313458
65,799.408,0.97316,0.87051,1.16479,0.7829,0.79722,0.80863,0.62431,0.90684,0.76093,1.23931,0.000305211,0.000305211,0.000305211
66,810.976,0.97421,0.85827,1.16855,0.8161,0.7762,0.83408,0.64396,0.8673,0.73235,1.22063,0.000296964,0.000296964,0.000296964
67,822.518,0.96578,0.86323,1.16637,0.81913,0.76562,0.82413,0.62998,0.90456,0.75365,1.24327,0.000288718,0.000288718,0.000288718
68,834.119,0.95264,0.84595,1.14926,0.88076,0.71984,0.81802,0.62453,0.87908,0.76243,1.24331,0.000280471,0.000280471,0.000280471
69,845.884,0.97655,0.86607,1.16512,0.78167,0.75718,0.80614,0.62158,0.89053,0.78111,1.23761,0.000272224,0.000272224,0.000272224
70,857.489,0.95319,0.86146,1.15012,0.82232,0.74053,0.81985,0.6218,0.87856,0.78097,1.22458,0.000263978,0.000263978,0.000263978
71,869.102,0.9442,0.84452,1.15391,0.78415,0.79936,0.82679,0.64468,0.87575,0.75402,1.22068,0.000255731,0.000255731,0.000255731
72,880.693,0.95392,0.85617,1.15323,0.83916,0.78127,0.8332,0.65463,0.84562,0.70118,1.21691,0.000247484,0.000247484,0.000247484
73,892.434,0.95365,0.84486,1.15077,0.8749,0.75043,0.83733,0.651,0.84848,0.73133,1.21957,0.000239238,0.000239238,0.000239238
74,904.053,0.93935,0.83909,1.1509,0.8062,0.78145,0.83782,0.64346,0.85814,0.70902,1.20943,0.000230991,0.000230991,0.000230991
75,915.656,0.93728,0.82926,1.13866,0.87804,0.75739,0.83141,0.65737,0.86083,0.69743,1.21068,0.000222744,0.000222744,0.000222744
76,927.368,0.93061,0.83012,1.13843,0.88369,0.77199,0.84283,0.65577,0.86097,0.68017,1.20651,0.000214497,0.000214497,0.000214497
77,939.042,0.92912,0.82047,1.1345,0.79837,0.77575,0.82976,0.65287,0.86045,0.70803,1.20654,0.000206251,0.000206251,0.000206251
78,950.453,0.91878,0.82363,1.13931,0.82771,0.80095,0.85517,0.65228,0.84986,0.68869,1.19791,0.000198004,0.000198004,0.000198004
79,961.979,0.92698,0.81625,1.139,0.87948,0.77927,0.8467,0.65391,0.86362,0.68266,1.20207,0.000189757,0.000189757,0.000189757
80,973.505,0.90703,0.80904,1.13194,0.87601,0.76055,0.84636,0.6601,0.85205,0.68741,1.21503,0.000181511,0.000181511,0.000181511
81,985.114,0.91087,0.80866,1.12679,0.78605,0.82706,0.85015,0.66175,0.84319,0.70372,1.20369,0.000173264,0.000173264,0.000173264
82,996.781,0.91907,0.80841,1.1406,0.85705,0.79445,0.84752,0.65326,0.88192,0.66762,1.20777,0.000165017,0.000165017,0.000165017
83,1008.41,0.90563,0.80101,1.12813,0.83605,0.80718,0.8565,0.6615,0.86831,0.65984,1.20893,0.000156771,0.000156771,0.000156771
84,1019.93,0.90534,0.78885,1.12683,0.90021,0.78722,0.85414,0.66504,0.85064,0.67387,1.2018,0.000148524,0.000148524,0.000148524
85,1031.55,0.88786,0.78194,1.11104,0.86233,0.80258,0.85727,0.66528,0.84236,0.66244,1.19498,0.000140277,0.000140277,0.000140277
86,1043.14,0.89371,0.78504,1.11976,0.88627,0.78004,0.84767,0.67003,0.84469,0.65824,1.20059,0.000132031,0.000132031,0.000132031
87,1054.83,0.88616,0.78687,1.11509,0.88179,0.78947,0.85417,0.66084,0.83887,0.66903,1.19765,0.000123784,0.000123784,0.000123784
88,1066.46,0.88461,0.78793,1.11728,0.86722,0.78761,0.85399,0.67158,0.81811,0.66866,1.18071,0.000115537,0.000115537,0.000115537
89,1078.15,0.88089,0.7745,1.11474,0.88763,0.78715,0.85154,0.66798,0.81485,0.65846,1.18843,0.00010729,0.00010729,0.00010729
